Sample name	Superpopulation code
HG02156	EAS
NA19685	AMR
HGDP00519	
HG02004	AMR
HG02182	EAS
NA19700	AFR
HGDP00716	
HG02009	AFR
HG02187	EAS
NA19659	AMR
HGDP00723	
HG02011	AFR
HG02106	AMR
NA19661	AMR
HGDP00684	
HG02023	EAS
HG02074	EAS
NA19469	AFR
HGDP00689	
HG02028	EAS
HG02168	EAS
NA19471	AFR
HGDP00691	
HG02030	EAS
HG02170	EAS
NA19445	AFR
HGDP00704	
HG01986	AFR
HG02303	AMR
NA19452	AFR
HGDP00711	
HG01993	AMR
HG02308	AFR
NA19678	AMR
HGDP00735	
HG01979	AMR
HG02315	AFR
NA19438	AFR
HGDP00696	
HG01981	AMR
HG02339	AFR
NA19440	AFR
HGDP00730	
HG01950	AMR
HG02353	EAS
NA19654	AMR
HGDP00677	
HG01955	AMR
HG02233	EUR
NA19399	AFR
HGDP00653	
HG01943	AMR
HG02238	EUR
NA19457	AFR
HGDP00672	
HG01948	AMR
HG02240	EUR
NA20524	EUR
HGDP00913	
HG01967	AMR
HG02252	AMR
NA20529	EUR
HGDP00918	
HG01974	AMR
HG02257	AFR
NA20531	EUR
HGDP00920	
HG01936	AMR
HG02271	AMR
NA20769	EUR
HGDP00901	
HG02016	EAS
HG02276	AMR
NA20771	EUR
HGDP00906	
HG02054	AFR
HG02219	EUR
NA20505	EUR
HGDP00893	
HG02059	EAS
HG02221	EUR
NA20512	EUR
HGDP00898	
HG02061	EAS
HG02322	AFR
NA20586	EUR
HGDP00925	
HG02129	EAS
HG02334	AFR
NA20752	EUR
HGDP00937	
HG02131	EAS
HG02283	AFR
NA20543	EUR
HGDP00881	
HG02136	EAS
HG02288	AMR
NA20581	EUR
HGDP00886	
HG02078	EAS
HG02492	SAS
NA20757	EUR
HGDP00879	
HG02080	EAS
HG02497	AFR
NA20764	EUR
HGDP00963	
HG02085	EAS
HG02478	AFR
NA20517	EUR
HGDP00949	
HG02143	AFR
HG02480	AFR
NA20783	EUR
HGDP00944	
HG02148	AMR
HG02485	AFR
NA20536	EUR
HGDP01202	
HG02150	AMR
HG02358	EAS
NA20889	SAS
HGDP01207	
HG02155	EAS
HG02360	EAS
NA20891	SAS
HGDP01221	
HG02105	AMR
HG02372	EAS
NA20909	SAS
HGDP01226	
HG02073	EAS
HG02428	AFR
NA20911	SAS
HGDP01269	
HG02035	EAS
HG02442	AFR
NA21089	SAS
HGDP01271	
HG02047	EAS
HG02461	AFR
NA21091	SAS
HGDP01257	
HG02179	EAS
HG02466	AFR
NA21104	SAS
HGDP01264	
HG02181	EAS
HG02377	EAS
NA21109	SAS
HGDP01233	
HG02302	AMR
HG02384	EAS
NA20896	SAS
HGDP01238	
HG02307	AFR
HG02389	EAS
NA20884	SAS
HGDP01187	
HG02314	AFR
HG02391	EAS
NA20877	SAS
HGDP01194	
HG02218	EUR
HG02409	EAS
NA20904	SAS
HGDP01214	
HG02220	EUR
HG02396	EAS
NA20872	SAS
HGDP01219	
HG02225	EUR
HG02644	AFR
SC_GMFUL5306348	AFR
HGDP01245	
HG02287	AMR
HG02649	SAS
SC_GMFUL5309789	AFR
HGDP01182	
HG02299	AMR
HG02651	SAS
SC_GMFUL5309710	AFR
HGDP01353	
HG02232	EUR
HG02574	AFR
SC_GMFUL5309703	AFR
HGDP01358	
HG02237	EUR
HG02555	AFR
SC_GMFUL5306420	AFR
HGDP01360	
HG02282	AFR
HG02562	AFR
SC_GMJOL5309965	AFR
HGDP01288	
HG02256	AFR
HG02567	AFR
SC_GMJOL5309934	AFR
HGDP01290	
HG02275	AMR
HG02505	AFR
SC_GMJOL5309958	AFR
HGDP01295	
HG02186	EAS
HG02512	EAS
SC_GMJOL5309895	AFR
HGDP01276	
HG02321	AFR
HG02524	EAS
SC_GMJOL5309941	AFR
HGDP01283	
HG02408	EAS
HG02536	AFR
SC_GMFUL5306379	AFR
HGDP01334	
HG02410	EAS
HG02613	AFR
SC_GMFUL5309741	AFR
HGDP01339	
HG02415	AMR
HG02620	AFR
SC_GMFUL5306432	AFR
HGDP01322	
HG02427	AFR
HG02601	SAS
SC_GMJOL5309972	AFR
HGDP01327	
HG02388	EAS
HG02586	AFR
SC_GMWOF5428724	AFR
HGDP01341	
HG02390	EAS
HG02625	AFR
SC_GMWOF5428748	AFR
HGDP01346	
HG02364	EAS
HG02776	SAS
SC_GMWOF5428736	AFR
HGDP01303	
HG02371	EAS
HG02783	SAS
SC_GMWOF5428705	AFR
HGDP01372	
HG02477	AFR
HG02764	AFR
SC_GMJOL5309953	AFR
HGDP01310	
HG02484	AFR
HG02769	AFR
SC_GMJOL5309977	AFR
HGDP01199	
HG02465	AFR
HG02771	AFR
SC_GMJOL5309819	AFR
HGDP01168	
HG02383	EAS
HG02738	SAS
SC_GMJOL5309821	AFR
HGDP00552	
HG02395	EAS
HG02757	AFR
SC_GMWOF5428762	AFR
NA15728	
HG02439	AFR
HG02682	SAS
SC_GMWOF5428731	AFR
K4	
HG02345	AMR
HG02687	SAS
SC_GMWOF5428755	AFR
Bu16	
HG02489	AFR
HG02726	SAS
SC_GMJOL5309852	AFR
Sam02	
HG02491	SAS
HG02733	SAS
SC_GMJOL5309876	AFR
HGDP01079	
HG02496	AFR
HG02702	AFR
SC_GMJOL5309903	AFR
NOR111	
HG02554	AFR
HG02721	AFR
SC_GMJOL5309927	AFR
HGDP01036	
HG02559	AFR
HG02668	AFR
SC_GMJOL5309984	AFR
HGDP01365	
HG02561	AFR
HG02675	AFR
SC_GMJOL5309960	AFR
NA15761	
HG02624	AFR
HG02694	SAS
SC_GMJOL5309883	AFR
YemeniteJew5433	
HG02629	AFR
HG02699	SAS
SC_GMMAN5482309	AFR
HGDP00956	
HG02636	AFR
HG02656	SAS
NA18524	EAS
armenia293	
HG02511	AFR
HG02788	SAS
NA18529	EAS
HGDP01012	
HG02523	EAS
HG02790	SAS
SC_GMMAN5482316	AFR
HGDP00216	
HG02580	AFR
HG02889	AFR
HGDP00094	
HG02585	AFR
HG02891	AFR
HGDP00099	
HG02605	SAS
HG02896	AFR
HGDP00102	
HG02612	AFR
HG02923	AFR
HGDP00056	
HG02597	SAS
HG02839	AFR
HGDP00068	
HG02600	SAS
HG02841	AFR
HGDP00070	
HG02573	AFR
HG02853	AFR
HGDP00037	
HG02547	AFR
HG02947	AFR
HGDP00049	
HG02662	SAS
HG02954	AFR
HGDP00001	
HG02667	AFR
HG02966	AFR
HGDP00013	
HG02679	AFR
HG02808	AFR
HGDP00082	
HG02643	AFR
HG02810	AFR
HGDP00119	
HG02648	SAS
HG02860	AFR
HGDP00025	
HG02650	SAS
HG02884	AFR
HGDP00323	
HG02763	AFR
HG02815	AFR
HGDP00330	
HG02768	AFR
HG02942	AFR
HGDP00359	
HG02770	AFR
HG03034	AFR
HGDP00479	
HG02737	SAS
HG03039	AFR
HGDP00513	
HG02756	AFR
HG03041	AFR
HGDP00450	
HG02681	SAS
HG03046	AFR
HGDP00455	
HG02686	SAS
HG03084	AFR
HGDP00518	
HG02775	SAS
HG03091	AFR
HGDP00520	
HG02787	SAS
HG03096	AFR
HGDP00525	
HG02698	SAS
HG03058	AFR
HGDP00392	
HG02701	SAS
HG03060	AFR
HGDP00397	
HG02725	SAS
HG03065	AFR
HGDP00412	
HG02655	SAS
HG03015	SAS
HGDP00417	
HG02890	AFR
HG03022	SAS
HGDP00467	
HG02895	AFR
HG02973	AFR
HGDP00462	
HG02922	AFR
HG02978	AFR
HGDP00537	
HG02838	AFR
HG03027	AFR
HGDP00544	
HG02840	AFR
HG03072	AFR
HGDP00549	
HG02852	AFR
HG03077	AFR
HGDP00551	
HG02814	AFR
HG02980	AFR
HGDP00556	
HG02819	AFR
HG03008	SAS
HGDP00619	
HG02821	AFR
HG03053	AFR
HGDP00621	
HG02794	SAS
HG03200	AFR
HGDP00626	
HG02799	AFR
HG03212	AFR
HGDP00638	
HG02939	AFR
HG03224	AFR
HGDP00640	
HG02941	AFR
HG03229	SAS
HGDP00645	
HG02946	AFR
HG03130	AFR
HGDP00594	
HG02883	AFR
HG03135	AFR
HGDP00599	
HG02888	AFR
HG03123	AFR
HGDP00602	
HG02953	AFR
HG03128	AFR
HGDP00607	
HG02965	AFR
HG03159	AFR
HGDP00614	
HG02807	AFR
HG03161	AFR
HGDP00563	
HG02869	AFR
HG03111	AFR
HGDP00568	
HG02871	AFR
HG03116	AFR
HGDP00582	
HG02984	AFR
HG03104	AFR
HGDP00587	
HG03007	SAS
HG03109	AFR
HGDP00575	
HG03033	AFR
HG03166	AFR
HGDP00981	
HG03040	AFR
HG03173	AFR
HGDP00986	
HG03045	AFR
HG03236	SAS
HGDP00993	
HG03052	AFR
HG03197	AFR
HGDP00924	
HG03057	AFR
HG03293	AFR
HGDP00929	
HG03019	SAS
HG03298	AFR
HGDP00931	
HG03021	SAS
HG03301	AFR
HGDP00948	
HG02972	AFR
HG03394	AFR
HGDP00950	
HG02977	AFR
HG03399	AFR
HGDP00955	
HG03064	AFR
HG03402	AFR
HGDP00900	
HG03069	AFR
HG03351	AFR
HGDP00905	
HG03076	AFR
HG03363	AFR
HGDP00967	
HG03088	AFR
HG03267	AFR
HGDP00974	
HG03095	AFR
HG03279	AFR
HGDP00912	
HG03026	AFR
HG03368	AFR
HGDP00917	
HG03230	SAS
HG03370	AFR
HGDP01009	
HG03235	SAS
HG03313	AFR
HGDP00943	
HG03242	AFR
HG03344	AFR
HGDP00962	
HG03209	AFR
HG03248	AFR
HGDP01244	
HG03228	SAS
HG03250	AFR
HGDP01249	
HG03189	AFR
HG03382	AFR
HGDP01251	
HG03191	AFR
HG03306	AFR
HGDP01287	
HG03196	AFR
HG03488	SAS
HGDP01294	
HG03103	AFR
HG03490	SAS
HGDP01232	
HG03108	AFR
HG03508	AFR
HGDP01237	
HG03110	AFR
HG03419	AFR
HGDP01220	
HG03115	AFR
HG03433	AFR
HGDP01225	
HG03122	AFR
HG03438	AFR
HGDP01268	
HG03127	AFR
HG03522	AFR
HGDP01270	
HG03158	AFR
HG03539	AFR
HG00118	EUR
HGDP01256	
HG03160	AFR
HG03457	AFR
HG00120	EUR
HGDP01263	
HG03134	AFR
HG03464	AFR
HG00125	EUR
HGDP01275	
HG03139	AFR
HG03445	AFR
HG00137	EUR
HGDP01282	
HG03172	AFR
HG03452	AFR
HG00144	EUR
HGDP01299	
HG03247	AFR
HG03469	AFR
HG00101	EUR
HGDP01302	
HG03259	AFR
HG03471	AFR
HG00106	EUR
HGDP01213	
HG03350	AFR
HG03510	AFR
HG00149	EUR
HGDP01218	
HG03362	AFR
HG03515	AFR
HG00151	EUR
SA0722	
HG03367	AFR
HG03476	AFR
HG00132	EUR
Nlk3	
HG03393	AFR
HG03558	AFR
HG00156	EUR
mg27	
HG03398	AFR
HG03565	AFR
HG00182	EUR
ALB212	
HG03401	AFR
HG03584	AFR
HG00113	EUR
HGDP00796	
HG03312	AFR
HG03589	SAS
HG00098	EUR
HGDP01047	
HG03343	AFR
HG03596	SAS
HG00303	EUR
iran17	
HG03297	AFR
HG03673	SAS
HG00308	EUR
HGDP01078	
HG03300	AFR
HG03680	SAS
HG00310	EUR
HGDP01035	
HG03266	AFR
HG03572	AFR
HG00264	EUR
HGDP01338	
HG03280	AFR
HG03577	AFR
HG00269	EUR
SAH41	
HG03305	AFR
HG03642	SAS
HG00187	EUR
lez49	
HG03374	AFR
HG03616	SAS
HG00233	EUR
abh100	
HG03381	AFR
HG03604	SAS
HG00252	EUR
HGDP00157	
HG03521	AFR
HG03611	SAS
HG00257	EUR
zapo0099	
HG03538	AFR
HG03685	SAS
HG00238	EUR
mixa0105	
HG03540	AFR
HG03692	SAS
HG00240	EUR
NA21490	
HG03557	AFR
HG03635	SAS
HG00271	EUR
HG00188	EUR
HG03564	AFR
HG03654	SAS
HG00276	EUR
HG00190	EUR
HG03569	AFR
HG03755	SAS
HG00245	EUR
HG00234	EUR
HG03571	AFR
HG03762	SAS
HG00315	EUR
HG00373	EUR
HG03487	SAS
HG03767	SAS
HG00288	EUR
HG00378	EUR
HG03499	AFR
HG03697	SAS
HG00290	EUR
HG00380	EUR
HG03449	AFR
HG03700	SAS
HG00358	EUR
HG00359	EUR
HG03451	AFR
HG03729	SAS
HG00360	EUR
HG00361	EUR
HG03468	AFR
HG03731	SAS
HG00365	EUR
HG00366	EUR
HG03470	AFR
HG03736	SAS
HG00423	EAS
HG00304	EUR
HG03576	AFR
HG03793	SAS
HG00428	EAS
HG00309	EUR
HG03583	AFR
HG03798	SAS
HG00442	EAS
HG00311	EUR
HG03514	AFR
HG03779	SAS
HG00384	EUR
HG00272	EUR
HG03519	AFR
HG03781	SAS
HG00404	EAS
HG00277	EUR
HG03432	AFR
HG03786	SAS
HG00334	EUR
HG00328	EUR
HG03437	AFR
HG03705	SAS
HG00339	EUR
HG00330	EUR
HG03456	AFR
HG03743	SAS
HG00341	EUR
HG00335	EUR
HG03704	SAS
HG03750	SAS
HG00372	EUR
HG00342	EUR
HG03709	SAS
HG03774	SAS
HG00377	EUR
HG00265	EUR
HG03711	SAS
HG03717	SAS
HG00346	EUR
HG00284	EUR
HG03641	SAS
HG03882	SAS
HG00353	EUR
HG00323	EUR
HG03646	SAS
HG03887	SAS
HG00409	EAS
HG00652	EAS
HG03672	SAS
HG03894	SAS
HG00411	EAS
HG00657	EAS
HG03684	SAS
HG03825	SAS
HG00327	EUR
HG00664	EAS
HG03634	SAS
HG03832	SAS
HG00447	EAS
HG00671	EAS
HG03639	SAS
HG03849	SAS
HG00478	EAS
HG00614	EAS
HG03653	SAS
HG03851	SAS
HG00480	EAS
HG00619	EAS
HG03660	SAS
HG03856	SAS
HG00500	EAS
HG00621	EAS
HG03603	SAS
HG03868	SAS
HG00512	EAS
HG00676	EAS
HG03615	SAS
HG03870	SAS
HG00524	EAS
HG00683	EAS
HG03590	SAS
HG03875	SAS
HG00531	EAS
HG00690	EAS
HG03595	SAS
HG03899	SAS
HG00536	EAS
HG00734	AMR
HG03696	SAS
HG03902	SAS
HG00543	EAS
HG00739	AMR
HG03689	SAS
HG03837	SAS
HG00613	EAS
HG00741	AMR
HG03691	SAS
HG03844	SAS
HG00620	EAS
HG00599	EAS
HG03792	SAS
HG03801	SAS
HG00459	EAS
HG00607	EAS
HG03797	SAS
HG03806	SAS
HG00473	EAS
HG00626	EAS
HG03800	SAS
HG03863	SAS
HG00567	EAS
HG00633	EAS
HG03805	SAS
HG03813	SAS
HG00579	EAS
HG00638	AMR
HG03742	SAS
HG03995	SAS
HG00581	EAS
HG00640	AMR
HG03754	SAS
HG04001	SAS
HG00625	EAS
HG00708	EAS
HG03773	SAS
HG04006	SAS
HG00632	EAS
HG00703	EAS
HG03778	SAS
HG03907	SAS
HG00593	EAS
HG01148	AMR
HG03780	SAS
HG03914	SAS
HG00598	EAS
HG01150	AMR
HG03785	SAS
HG03976	SAS
HG00555	AMR
HG01162	AMR
HG03716	SAS
HG03988	SAS
HG00733	AMR
HG01249	AMR
HG03723	SAS
HG03990	SAS
HG00738	AMR
HG01251	AMR
HG03812	SAS
HG03919	SAS
HG00740	AMR
HG01167	AMR
HG03817	SAS
HG03926	SAS
HG00651	EAS
HG01174	AMR
HG03761	SAS
HG04018	SAS
HG00656	EAS
HG01131	AMR
HG03766	SAS
HG04020	SAS
HG00663	EAS
HG01136	AMR
HG03730	SAS
HG04025	SAS
HG00694	EAS
HG01198	AMR
HG03824	SAS
HG03940	SAS
HG00699	EAS
HG01206	AMR
HG03829	SAS
HG03969	SAS
HG00702	EAS
HG01275	AMR
HG03831	SAS
HG03971	SAS
HG01046	EAS
HG01256	AMR
HG03898	SAS
HG03945	SAS
HG01053	AMR
HG01302	AMR
HG03901	SAS
HG04037	SAS
HG01058	AMR
HG01326	AMR
HG03879	SAS
HG04094	SAS
HG01060	AMR
HG01600	EAS
HG03886	SAS
HG04099	SAS
HG00707	EAS
HG01605	EUR
HG03920	SAS
HG04107	SAS
HG00978	EAS
HG01504	EUR
HG03925	SAS
HG04114	SAS
HG00637	AMR
HG01509	EUR
HG03906	SAS
HG04063	SAS
HG00675	EAS
HG01566	AMR
HG03913	SAS
HG04070	SAS
HG01109	AMR
HG01573	AMR
HG03874	SAS
HG04075	SAS
HG01111	AMR
HG01578	AMR
HG03848	SAS
HG04183	SAS
HG01123	AMR
HG01491	AMR
HG03850	SAS
HG04188	SAS
HG01072	AMR
HG01496	AMR
HG03862	SAS
HG04152	SAS
HG01077	AMR
HG01511	EUR
HG03867	SAS
HG04157	SAS
HG01089	AMR
HG01516	EUR
HG03836	SAS
HG04164	SAS
HG01096	AMR
HG01484	AMR
HG04062	SAS
HG04171	SAS
HG01130	AMR
HG01489	AMR
HG04067	SAS
HG04176	SAS
HG01135	AMR
HG01523	EUR
HG04093	SAS
HG04140	SAS
HG01142	AMR
HG01528	EUR
HG04017	SAS
HG04056	SAS
HG01161	AMR
HG01530	EUR
HG04024	SAS
HG04195	SAS
HG01173	AMR
HG01597	EAS
HG04029	SAS
HG04133	SAS
HG01104	AMR
HG01787	EUR
HG03944	SAS
NA11831	EUR
HG01084	AMR
HG01794	EAS
HG03949	SAS
NA11843	EUR
HG01178	AMR
HG01895	AFR
HG03951	SAS
NA11881	EUR
HG01503	EUR
HG01915	AFR
HG03937	SAS
NA11893	EUR
HG01508	EUR
HG01888	AFR
HG03963	SAS
NA07037	EUR
HG01438	AMR
HG01890	AFR
HG03968	SAS
NA07051	EUR
HG01440	AMR
HG01864	EAS
HG03999	SAS
NA07056	EUR
HG01445	AMR
HG01869	EAS
HG04050	SAS
NA07347	EUR
HG01490	AMR
HG01871	EAS
HG04055	SAS
NA10857	EUR
HG01495	AMR
HG01852	EAS
HG03982	SAS
NA10864	EUR
HG01414	AMR
HG01857	EAS
HG04036	SAS
NA11829	EUR
HG01433	AMR
HG01840	EAS
HG04118	SAS
HG04215	SAS
HG01483	AMR
HG01845	EAS
HG04132	SAS
HG04222	SAS
HG01488	AMR
HG01883	AFR
HG04194	SAS
HG04227	SAS
HG01510	EUR
HG01799	EAS
HG04199	SAS
NA10840	EUR
HG01515	EUR
HG01802	EAS
HG04182	SAS
NA10845	EUR
HG01464	AMR
HG01807	EAS
HG04187	SAS
NA10852	EUR
HG01471	AMR
HG02090	AMR
HG04144	SAS
HG04208	SAS
HG01394	AMR
HG02095	AFR
HG04149	SAS
HG04210	SAS
HG01402	AMR
HG02108	AFR
HG04151	SAS
NA10838	EUR
HG01452	AMR
HG02141	EAS
HG04156	SAS
HG04239	SAS
HG01457	AMR
HG02146	AMR
HG04098	SAS
NA06995	EUR
HG01565	AMR
HG02057	EAS
HG04106	SAS
NA11994	EUR
HG01572	AMR
HG02064	EAS
HG04202	SAS
NA12005	EUR
HG01577	AMR
HG02069	EAS
HG04214	SAS
NA12043	EUR
HG01673	EUR
HG02026	EAS
HG04219	SAS
NA11918	EUR
HG01678	EUR
HG02040	EAS
HG04175	SAS
NA11920	EUR
HG01680	EUR
HG02071	EAS
NA06994	EUR
NA11932	EUR
HG01522	EUR
HG02076	EAS
NA07000	EUR
NA12815	EUR
HG01527	EUR
HG02122	EAS
NA07029	EUR
NA12827	EUR
HG01623	EUR
HG02127	EAS
NA07031	EUR
NA12144	EUR
HG01628	EUR
HG02083	EAS
HG00139	EUR
NA07048	EUR
NA12156	EUR
HG01685	EUR
HG02088	EAS
HG00141	EUR
NA07055	EUR
NA12264	EUR
HG01697	EUR
HG02134	EAS
HG00146	EUR
NA07346	EUR
NA12283	EUR
HG01589	SAS
HG02139	EAS
HG00158	EUR
NA10856	EUR
NA12341	EUR
HG01596	EAS
HG02052	AFR
HG00160	EUR
NA10863	EUR
NA12776	EUR
HG01630	EUR
HG02312	AMR
HG00108	EUR
NA11830	EUR
NA12485	EUR
HG01609	EUR
HG02317	AFR
HG00110	EUR
NA11917	EUR
NA12707	EUR
HG01611	EUR
HG02420	AFR
HG00115	EUR
NA11931	EUR
NA12740	EUR
HG01616	EUR
HG02425	AMR
HG00127	EUR
NA11993	EUR
NA12752	EUR
HG01604	EUR
HG02449	AFR
HG00134	EUR
NA12004	EUR
NA12865	EUR
HG01919	AMR
HG02451	AFR
HG00122	EUR
NA10851	EUR
NA12872	EUR
HG01921	AMR
HG02379	EAS
HG00177	EUR
NA11892	EUR
NA12877	EUR
HG01926	AMR
HG02381	EAS
HG00103	EUR
NA07435	EUR
NA12889	EUR
HG01870	EAS
HG02348	AMR
HG00189	EUR
NA10837	EUR
NA12891	EUR
HG01882	AFR
HG02355	EAS
HG00153	EUR
HG04238	SAS
NA18488	AFR
HG01940	AMR
HG02398	EAS
HG00324	EUR
HG04303	EUR
NA18508	AFR
HG01945	AMR
HG02401	EAS
HG00329	EUR
NA12249	EUR
NA18510	AFR
HG01969	AMR
HG02406	EAS
HG00331	EUR
NA12275	EUR
NA18515	AFR
HG01971	AMR
HG02386	EAS
HG00273	EUR
NA12282	EUR
NA18553	EAS
HG01933	AMR
HG02367	EAS
HG00278	EUR
NA12287	EUR
NA18558	EAS
HG01938	AMR
HG02374	EAS
HG00280	EUR
NA12890	EUR
NA18560	EAS
HG01894	AFR
HG02343	AFR
HG00261	EUR
NA18487	AFR
NA18522	AFR
HG01914	AFR
HG02792	SAS
HG00266	EUR
NA12718	EUR
NA18527	EAS
HG01863	EAS
HG02800	AFR
HG00235	EUR
NA12749	EUR
NA18565	EAS
HG01868	EAS
HG02805	AFR
HG00242	EUR
NA12751	EUR
NA18572	EAS
HG01952	AMR
HG02778	SAS
HG00254	EUR
NA12763	EUR
NA18534	EAS
HG01887	AFR
HG02780	SAS
HG00259	EUR
NA12775	EUR
NA18539	EAS
HG02188	EAS
HG02785	SAS
HG00247	EUR
NA12802	EUR
NA18541	EAS
HG02190	EAS
HG02862	AFR
HG00336	EUR
NA12383	EUR
NA18503	AFR
HG02215	EUR
HG02879	AFR
HG00343	EUR
NA12489	EUR
NA18546	EAS
HG02140	EAS
HG02881	AFR
HG00285	EUR
NA12340	EUR
NA18863	AFR
HG02145	AFR
HG02817	AFR
HG00312	EUR
NA12376	EUR
NA18868	AFR
HG02121	EAS
HG02836	AFR
HG00502	EAS
NA12155	EUR
NA18870	AFR
HG02126	EAS
HG02855	AFR
HG00514	EAS
NA12814	EUR
NA18577	EAS
HG02133	EAS
HG02944	AFR
HG00526	EAS
NA12864	EUR
NA18591	EAS
HG02138	EAS
HG02886	AFR
HG00463	EAS
NA18519	AFR
NA18596	EAS
HG02234	EUR
HG02773	AFR
HG00475	EAS
NA18521	AFR
NA18623	EAS
HG02239	EUR
HG02812	AFR
HG00437	EAS
NA18526	EAS
NA18628	EAS
HG02102	AMR
HG03017	SAS
HG00444	EAS
NA18603	EAS
NA18630	EAS
HG02107	AFR
HG03024	AFR
HG00381	EUR
NA18608	EAS
NA18635	EAS
HG02152	EAS
HG02982	AFR
HG00406	EAS
NA18610	EAS
NA18609	EAS
HG02164	EAS
HG03012	SAS
HG00418	EAS
NA18499	AFR
NA18611	EAS
HG02169	EAS
HG03050	AFR
HG00420	EAS
NA18502	AFR
NA18642	EAS
HG02176	EAS
HG03055	AFR
HG00449	EAS
NA18545	EAS
NA18647	EAS
HG02222	EUR
HG03074	AFR
HG00451	EAS
NA18552	EAS
NA18856	AFR
HG02479	AFR
HG03079	AFR
HG00362	EUR
NA18557	EAS
NA18748	EAS
HG02481	AFR
HG03081	AFR
HG00367	EUR
NA18564	EAS
NA18616	EAS
HG02486	AFR
HG02968	AFR
HG00350	EUR
NA18576	EAS
NA18940	EAS
HG02525	EAS
HG02970	AFR
HG00355	EUR
NA18595	EAS
NA18945	EAS
HG02537	AFR
HG03048	AFR
HG00379	EUR
NA18507	AFR
NA18907	AFR
HG02429	AFR
HG03029	AFR
HG00742	AMR
NA18571	EAS
NA18914	AFR
HG02436	AFR
HG02975	AFR
HG00759	EAS
NA18533	EAS
NA18933	AFR
HG02450	AFR
HG03062	AFR
HG00766	EAS
NA18538	EAS
NA18988	EAS
HG02455	AFR
HG03238	SAS
HG00867	EAS
NA18862	AFR
NA18990	EAS
HG02462	AFR
HG03240	AFR
HG00879	EAS
NA18867	AFR
NA18995	EAS
HG02549	AFR
HG03295	AFR
HG00684	EAS
NA18881	AFR
NA18969	EAS
HG02563	AFR
HG03303	AFR
HG00689	EAS
NA18906	AFR
NA18971	EAS
HG02493	SAS
HG03269	AFR
HG00691	EAS
NA18913	AFR
NA18976	EAS
HG02501	AFR
HG03271	AFR
HG00709	EAS
NA18622	EAS
NA18957	EAS
HG02392	EAS
HG03411	AFR
HG00716	EAS
NA18627	EAS
NA18964	EAS
HG02397	EAS
HG03428	AFR
HG00728	EAS
NA18639	EAS
NA18952	EAS
HG02405	EAS
HG03384	AFR
HG00730	EAS
NA18641	EAS
NA18983	EAS
HG02513	EAS
HG03391	AFR
HG01048	AMR
NA18646	EAS
NA18875	AFR
HG02385	EAS
HG03372	AFR
HG01050	AMR
NA18874	AFR
NA19037	AFR
HG02703	AFR
HG03339	AFR
HG01055	AMR
NA18879	AFR
NA19044	AFR
HG02715	AFR
HG03341	AFR
HG00881	EAS
NA18634	EAS
NA19099	AFR
HG02722	AFR
HG03308	AFR
HG00956	EAS
NA18615	EAS
NA19102	AFR
HG02804	AFR
HG03310	AFR
HG00982	EAS
NA18747	EAS
NA19087	EAS
HG02809	AFR
HG03365	AFR
HG01029	EAS
NA18855	AFR
NA19094	AFR
HG02811	AFR
HG03478	AFR
HG01031	EAS
NA18968	EAS
NA19068	EAS
HG02789	SAS
HG03480	AFR
HG01074	AMR
NA18970	EAS
NA19070	EAS
HG02791	SAS
HG03485	AFR
HG01079	AMR
NA18975	EAS
NA19075	EAS
HG02727	SAS
HG03459	AFR
HG01062	AMR
NA18999	EAS
NA19001	EAS
HG02734	SAS
HG03461	AFR
HG01067	AMR
NA19000	EAS
NA19006	EAS
HG02758	AFR
HG03466	AFR
HG00704	EAS
NA19005	EAS
NA19056	EAS
HG02760	AFR
HG03473	AFR
HG00735	AMR
NA18949	EAS
NA19063	EAS
HG02784	SAS
HG03517	AFR
HG01168	AMR
NA18951	EAS
NA19082	EAS
HG02772	AFR
HG03454	AFR
HG01170	AMR
NA18956	EAS
NA19020	AFR
HG02854	AFR
HG03548	AFR
HG01175	AMR
NA19012	EAS
NA19025	AFR
HG02816	AFR
HG03442	AFR
HG01125	AMR
NA19017	AFR
NA19222	AFR
HG03073	AFR
HG03567	AFR
HG01137	AMR
NA18982	EAS
NA19239	AFR
HG03078	AFR
HG03492	SAS
HG01101	AMR
NA18987	EAS
NA19208	AFR
HG03080	AFR
HG03783	SAS
HG01106	AMR
NA18963	EAS
NA19210	AFR
HG03085	AFR
HG03788	SAS
HG01081	AMR
NA18994	EAS
NA19215	AFR
HG03097	AFR
HG03790	SAS
HG01086	AMR
NA18944	EAS
NA19138	AFR
HG03100	AFR
HG03707	SAS
HG01182	AMR
NA18925	AFR
NA19140	AFR
HG03105	AFR
HG03714	SAS
HG01187	AMR
NA19086	EAS
NA19145	AFR
HG03129	AFR
HG03757	SAS
HG01113	AMR
NA19093	AFR
NA19107	AFR
HG03131	AFR
HG03769	SAS
HG01149	AMR
NA19113	AFR
NA19114	AFR
HG03136	AFR
HG03803	SAS
HG01098	AMR
NA19118	AFR
NA19190	AFR
HG03059	AFR
HG03808	SAS
HG01199	AMR
NA19098	AFR
NA19195	AFR
HG03061	AFR
HG03733	SAS
HG01454	AMR
NA19101	AFR
NA19171	AFR
HG03066	AFR
HG03738	SAS
HG01459	AMR
NA19067	EAS
NA19176	AFR
HG03112	AFR
HG03740	SAS
HG01461	AMR
NA19074	EAS
NA19119	AFR
HG03117	AFR
HG03745	SAS
HG01466	AMR
NA19079	EAS
NA19121	AFR
HG03054	AFR
HG03752	SAS
HG01473	AMR
