Sample name	Superpopulation code
HG02399	EAS
NA12739	EUR
HG00157	EUR
HG02402	EAS
NA12753	EUR
HG00152	EUR
HG02407	EAS
NA18504	AFR
HG00183	EUR
HG02490	SAS
NA18535	EAS
HG00501	EAS
HG02433	AFR
NA19057	EAS
HG00513	EAS
HG02445	AFR
NA19064	EAS
HG00525	EAS
HG02382	EAS
NA18972	EAS
HG00532	EAS
HG02419	AFR
NA18977	EAS
HG00537	EAS
HG02495	SAS
NA18989	EAS
HG00544	EAS
HG02717	AFR
NA18991	EAS
HG00551	AMR
HG02724	SAS
NA19002	EAS
HG00429	EAS
HG02729	SAS
NA19007	EAS
HG00436	EAS
HG02731	SAS
NA18984	EAS
HG00443	EAS
HG02736	SAS
NA19076	EAS
HG00448	EAS
HG02692	SAS
NA19038	AFR
HG00450	EAS
HG02697	SAS
NA19019	AFR
HG00474	EAS
HG02700	SAS
NA19026	AFR
HG00479	EAS
HG02793	SAS
NA19184	AFR
HG00556	EAS
HG02798	AFR
NA19189	AFR
HG00405	EAS
HG02779	SAS
NA19191	AFR
HG00594	EAS
HG02781	SAS
NA19196	AFR
HG00582	EAS
HG02786	SAS
NA19160	AFR
HG01092	AMR
HG02678	AFR
NA19172	AFR
HG01097	AMR
HG02680	AFR
NA19177	AFR
HG01100	AMR
HG02685	SAS
NA19088	EAS
HG01112	AMR
HG02774	SAS
NA19090	EAS
HG01124	AMR
HG02762	AFR
NA19095	AFR
HG01047	AMR
HG03239	SAS
NA19146	AFR
HG01054	AMR
HG03241	AFR
NA19153	AFR
HG01061	AMR
HG03246	AFR
NA19108	AFR
HG01066	AMR
HG03258	AFR
NA19115	AFR
HG01080	AMR
HG03260	AFR
NA19139	AFR
HG01085	AMR
HG03265	AFR
NA19141	AFR
HG01105	AMR
HG03169	AFR
NA19122	AFR
HG01073	AMR
HG03171	AFR
NA19127	AFR
HG00866	EAS
HG03176	AFR
NA19083	EAS
HG01028	EAS
HG03190	AFR
NA19103	AFR
HG01364	AMR
HG03133	AFR
NA19658	AMR
HG01369	AMR
HG03140	AFR
NA19660	AMR
HG01376	AMR
HG03157	AFR
NA19665	AMR
HG01383	AMR
HG03203	AFR
NA19444	AFR
HG01390	AMR
HG03234	SAS
NA19449	AFR
HG01439	AMR
HG03272	AFR
NA19451	AFR
HG01441	AMR
HG03291	AFR
NA19468	AFR
HG01345	AMR
HG03195	AFR
NA19470	AFR
HG01352	AMR
HG03126	AFR
NA19475	AFR
HG01465	AMR
HG03164	AFR
NA19677	AMR
HG01477	AMR
HG03575	AFR
NA19684	AMR
HG01395	AMR
HG03582	AFR
NA19432	AFR
HG01403	AMR
HG03587	SAS
NA19437	AFR
HG01357	AMR
HG03513	AFR
NA19672	AMR
HG01453	AMR
HG03518	AFR
NA19398	AFR
HG01415	AMR
HG03520	AFR
NA19401	AFR
HG01763	EUR
HG03594	SAS
NA19456	AFR
HG01768	EUR
HG03599	SAS
NA19463	AFR
HG01770	EUR
HG03602	SAS
NA19653	AMR
HG01674	EUR
HG03479	AFR
NA20129	AFR
HG01679	EUR
HG03486	AFR
NA20282	AFR
HG01681	EUR
HG03549	AFR
NA20319	AFR
HG01612	EUR
HG03556	AFR
NA20321	AFR
HG01617	EUR
HG03607	SAS
NA20333	AFR
HG01624	EUR
HG03563	AFR
NA20302	AFR
HG01629	EUR
HG03493	AFR
NA20314	AFR
HG01686	EUR
HG03474	AFR
NA20287	AFR
HG01698	EUR
HG03804	SAS
NA20294	AFR
HG01775	EUR
HG03809	SAS
NA19836	AFR
HG01782	EUR
HG03811	SAS
HG00244	EUR
NA19901	AFR
HG01631	EUR
HG03760	SAS
HG00249	EUR
NA19918	AFR
HG01667	EUR
HG03765	SAS
HG00251	EUR
NA19920	AFR
HG01756	EUR
HG03830	SAS
HG00174	EUR
NA20299	AFR
HG01701	EUR
HG03835	SAS
HG00263	EUR
NA19982	AFR
HG01706	EUR
HG03816	SAS
HG00268	EUR
NA19913	AFR
HG01953	AMR
HG03823	SAS
HG00186	EUR
NA20869	SAS
HG01958	AFR
HG03796	SAS
HG00232	EUR
NA20871	SAS
HG01960	AFR
HG03772	SAS
HG00179	EUR
NA20895	SAS
HG01965	AMR
HG03777	SAS
HG00181	EUR
NA20888	SAS
HG02014	AFR
HG03746	SAS
HG00270	EUR
NA20890	SAS
HG02019	EAS
HG03753	SAS
HG00275	EUR
NA20826	EUR
HG02021	EAS
HG03784	SAS
HG00256	EUR
NA20845	SAS
HG01934	AMR
HG03789	SAS
HG00112	EUR
NA20876	SAS
HG01939	AMR
HG03741	SAS
HG00237	EUR
NA20852	SAS
HG01941	AMR
HG03948	SAS
HG00282	EUR
NA20864	SAS
HG01989	AFR
HG03950	SAS
HG00383	EUR
NA20883	SAS
HG01991	AMR
HG03955	SAS
HG00403	EAS
NA20910	SAS
HG01977	AMR
HG04054	SAS
HG00369	EUR
NA21088	SAS
HG01984	AMR
HG04059	SAS
HG00243	EUR
HG00371	EUR
NA21090	SAS
HG01922	AMR
HG04061	SAS
HG00248	EUR
HG00376	EUR
NA21134	SAS
HG01927	AMR
HG04023	SAS
HG00250	EUR
HG00408	EAS
NA21141	SAS
HG02002	AMR
HG04035	SAS
HG00147	EUR
HG00410	EAS
NA21103	SAS
HG01972	AMR
HG04100	SAS
HG00154	EUR
HG00319	EUR
NA21108	SAS
HG01946	AMR
HG04042	SAS
HG00178	EUR
HG00321	EUR
NA21122	SAS
HG02278	AMR
HG04047	SAS
HG00180	EUR
HG00357	EUR
NA21127	SAS
HG02280	AFR
HG03967	SAS
HG00185	EUR
HG00364	EUR
NA21110	SAS
HG02285	AMR
HG03974	SAS
HG00159	EUR
HG00326	EUR
NA21115	SAS
HG02254	AMR
HG03998	SAS
HG00173	EUR
HG00338	EUR
SC_GMJOL5309930	AFR
HG02259	AMR
HG03986	SAS
HG00262	EUR
HG00345	EUR
SC_GMJOL5309891	AFR
HG02261	AMR
HG04080	SAS
HG00267	EUR
HG00302	EUR
SC_GMFUL5306370	AFR
HG02292	AMR
NA11930	EUR
HG00236	EUR
HG00561	EAS
NA20908	SAS
HG02300	AMR
NA11992	EUR
HG00255	EUR
HG00566	EAS
NA21095	SAS
HG02266	AMR
NA12003	EUR
HG00231	EUR
HG00578	EAS
NA20903	SAS
HG02273	AMR
NA07340	EUR
HG00104	EUR
HG00580	EAS
SC_GMJOL5309942	AFR
HG02223	EUR
NA07345	EUR
HG00274	EUR
HG00458	EAS
SC_GMJOL5309966	AFR
HG02230	EUR
NA07357	EUR
HG00407	EAS
HG00465	EAS
SC_GMFUL5306356	AFR
HG02235	EUR
NA12046	EUR
HG00419	EAS
HG00472	EAS
SC_GMFUL5309773	AFR
HG02153	EAS
NA12058	EUR
HG00421	EAS
HG00477	EAS
SC_GMJOL5309935	AFR
HG02165	EAS
NA12274	EUR
HG00344	EUR
HG00530	EAS
SC_GMJOL5309959	AFR
HG02184	EAS
NA12286	EUR
HG00349	EUR
HG00535	EAS
SC_GMJOL5309980	AFR
HG02189	EAS
NA12154	EUR
HG00351	EUR
HG00542	EAS
SC_GMJOL5309911	AFR
HG02494	SAS
NA12248	EUR
HG00356	EUR
HG00422	EAS
SC_GMFUL5309711	AFR
HG02502	AFR
NA10831	EUR
HG00313	EUR
HG00427	EAS
SC_GMJOL5309973	AFR
HG02583	AFR
NA10836	EUR
HG00318	EUR
HG00554	AMR
SC_GMFUL5306349	AFR
HG02588	AFR
NA10843	EUR
HG00320	EUR
HG00559	EAS
SC_GMFUL5309735	AFR
HG02590	AFR
NA10850	EUR
HG00325	EUR
HG00585	EAS
SC_GMMAN5482163	AFR
HG02595	AFR
NA10855	EUR
HG00332	EUR
HG00592	EAS
SC_GMMAN5482187	AFR
HG02610	AFR
NA11891	EUR
HG00368	EUR
HG00446	EAS
SC_GMMAN5482219	AFR
HG02615	AFR
NA11839	EUR
HG00375	EUR
HG00453	EAS
SC_GMMAN5482170	AFR
HG02622	AFR
NA18525	EAS
HG00337	EUR
HG00612	EAS
SC_GMMAN5482194	AFR
HG02526	EAS
NA18532	EAS
HG00306	EUR
HG00624	EAS
SC_GMMAN5482202	AFR
HG02545	AFR
NA18570	EAS
HG00382	EUR
HG00597	EAS
SC_GMWOF5428787	AFR
HG02557	AFR
NA18582	EAS
HG00281	EUR
HG00600	EAS
SC_GMWOF5428819	AFR
HG02569	AFR
NA18619	EAS
HG00584	EAS
HG00732	AMR
SC_GMWOF5428833	AFR
HG02463	AFR
NA18621	EAS
HG00589	EAS
HG00737	AMR
SC_GMWOF5428857	AFR
HG02470	AFR
NA18537	EAS
HG00591	EAS
HG00693	EAS
SC_GMWOF5428821	AFR
HG02514	EAS
NA18544	EAS
HG00553	AMR
HG00698	EAS
SC_GMWOF5428869	AFR
HG02521	EAS
NA18563	EAS
HG00558	EAS
HG00701	EAS
SC_GMWOF5428838	AFR
HG02603	SAS
NA18599	EAS
HG00560	EAS
HG00636	EAS
SC_GMWOF5428814	AFR
HG02571	AFR
NA18602	EAS
HG00464	EAS
HG00650	EAS
SC_GMMAN5482252	AFR
HG02684	SAS
NA18626	EAS
HG00476	EAS
HG00655	EAS
SC_GMWOF5428871	AFR
HG02689	SAS
NA18614	EAS
HG00445	EAS
HG00662	EAS
HGDP00144	
HG02691	SAS
NA18549	EAS
HG00452	EAS
HG00629	EAS
HGDP00149	
HG02646	AFR
NA19023	AFR
HG00457	EAS
HG00631	EAS
HGDP00151	
HG02653	SAS
NA19004	EAS
HG00534	EAS
HG01052	AMR
HGDP00086	
HG02704	AFR
NA19009	EAS
HG00596	EAS
HG00674	EAS
HGDP00098	
HG02716	AFR
NA19011	EAS
HG00609	EAS
